RT_well_position,RT_barcode,timepoint
A01,RT_BC_97,24hr
A02,RT_BC_98,24hr
A03,RT_BC_99,24hr
A04,RT_BC_100,24hr
A05,RT_BC_101,24hr
A06,RT_BC_102,24hr
A07,RT_BC_103,96hr
A08,RT_BC_104,96hr
A09,RT_BC_105,96hr
A10,RT_BC_106,96hr
A11,RT_BC_107,96hr
A12,RT_BC_108,96hr
B01,RT_BC_109,24hr
B02,RT_BC_110,24hr
B03,RT_BC_111,24hr
B04,RT_BC_112,24hr
B05,RT_BC_113,24hr
B06,RT_BC_114,24hr
B07,RT_BC_115,96hr
B08,RT_BC_116,96hr
B09,RT_BC_117,96hr
B10,RT_BC_118,96hr
B11,RT_BC_119,96hr
B12,RT_BC_120,96hr
C01,RT_BC_121,24hr
C02,RT_BC_122,24hr
C03,RT_BC_123,24hr
C04,RT_BC_124,24hr
C05,RT_BC_125,24hr
C06,RT_BC_126,24hr
C07,RT_BC_127,96hr
C08,RT_BC_128,96hr
C09,RT_BC_129,96hr
C10,RT_BC_130,96hr
C11,RT_BC_131,96hr
C12,RT_BC_132,96hr
D01,RT_BC_133,24hr
D02,RT_BC_134,24hr
D03,RT_BC_135,24hr
D04,RT_BC_136,24hr
D05,RT_BC_137,24hr
D06,RT_BC_138,24hr
D07,RT_BC_139,96hr
D08,RT_BC_140,96hr
D09,RT_BC_141,96hr
D10,RT_BC_142,96hr
D11,RT_BC_143,96hr
D12,RT_BC_144,96hr
E01,RT_BC_145,24hr
E02,RT_BC_146,24hr
E03,RT_BC_147,24hr
E04,RT_BC_148,24hr
E05,RT_BC_149,24hr
E06,RT_BC_150,24hr
E07,RT_BC_151,96hr
E08,RT_BC_152,96hr
E09,RT_BC_153,96hr
E10,RT_BC_154,96hr
E11,RT_BC_155,96hr
E12,RT_BC_156,96hr
F01,RT_BC_157,24hr
F02,RT_BC_158,24hr
F03,RT_BC_159,24hr
F04,RT_BC_160,24hr
F05,RT_BC_161,24hr
F06,RT_BC_162,24hr
F07,RT_BC_163,96hr
F08,RT_BC_164,96hr
F09,RT_BC_165,96hr
F10,RT_BC_166,96hr
F11,RT_BC_167,96hr
F12,RT_BC_168,96hr
G01,RT_BC_169,24hr
G02,RT_BC_170,24hr
G03,RT_BC_171,24hr
G04,RT_BC_172,24hr
G05,RT_BC_173,24hr
G06,RT_BC_174,24hr
G07,RT_BC_175,96hr
G08,RT_BC_176,96hr
G09,RT_BC_177,96hr
G10,RT_BC_178,96hr
G11,RT_BC_179,96hr
G12,RT_BC_180,96hr
H01,RT_BC_181,24hr
H02,RT_BC_182,24hr
H03,RT_BC_183,24hr
H04,RT_BC_184,24hr
H05,RT_BC_185,24hr
H06,RT_BC_186,24hr
H07,RT_BC_187,96hr
H08,RT_BC_188,96hr
H09,RT_BC_189,96hr
H10,RT_BC_190,96hr
H11,RT_BC_191,96hr
H12,RT_BC_192,96hr
